 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 1.0    7.0    5.0    1.0    1.0    0.0    136.0    146.1    2.0    292.0    313.2    4.0    45.0    1.0    229.0    3.0    136.0    2.0    292.0    45.0    146.1    2.0    313.2    229.0    10.1  
 1.0    7.0    5.0    -1.0    1.0    1.0    130.0    114.3    2.0    333.0    304.3    4.0    231.0    3.0    64.0    1.0    130.0    2.0    333.0    231.0    114.3    2.0    304.3    64.0    15.7  
 3.0    7.0    12.0    0.0    2.0    0.0    28.0    39.6    1.0    314.0    338.3    4.0    219.0    3.0    113.0    2.0    219.0    3.0    28.0    314.0    113.0    2.0    39.6    338.3    106.0  
 3.0    7.0    12.0    0.0    2.0    1.0    234.0    218.4    3.0    67.0    42.2    1.0    155.0    2.0    299.0    4.0    155.0    2.0    234.0    67.0    299.0    4.0    218.4    42.2    144.0  
 3.0    7.0    5.0    0.0    1.0    0.0    223.0    209.0    3.0    334.0    312.3    4.0    135.0    2.0    44.0    1.0    135.0    2.0    223.0    334.0    44.0    1.0    209.0    312.3    91.0  
 3.0    7.0    5.0    0.0    1.0    1.0    242.0    222.1    3.0    138.0    116.1    2.0    306.0    4.0    32.0    1.0    306.0    4.0    242.0    138.0    32.0    1.0    222.1    116.1    86.0  
 3.0    7.0    12.0    0.0    2.0    0.0    126.0    113.3    2.0    57.0    34.3    1.0    301.0    4.0    220.0    3.0    301.0    4.0    126.0    57.0    220.0    3.0    113.3    34.3    81.0  
 1.0    7.0    5.0    1.0    1.0    0.0    32.0    48.5    1.0    124.0    150.4    2.0    216.0    3.0    312.0    4.0    32.0    1.0    124.0    216.0    48.5    1.0    150.4    312.0    16.5  
 3.0    7.0    5.0    0.0    1.0    0.0    224.0    238.8    3.0    295.0    317.8    4.0    38.0    1.0    159.0    2.0    38.0    1.0    224.0    295.0    159.0    2.0    238.8    317.8    121.0  
 3.0    7.0    5.0    0.0    1.0    1.0    137.0    120.5    2.0    322.0    298.8    4.0    204.0    3.0    62.0    1.0    204.0    3.0    137.0    322.0    62.0    1.0    120.5    298.8    142.0  
 1.0    7.0    12.0    1.0    2.0    0.0    310.0    320.5    4.0    220.0    240.7    3.0    149.0    2.0    29.0    1.0    310.0    4.0    220.0    149.0    320.5    4.0    240.7    29.0    10.5  
